name,subGroup,value,year,tcolour
Major,78 months in office,1,19,#00539f
Wilson,94 months in office,1,19,#ee3224
Cameron,75 months in office,2,19,#00539f
Heath,45 months in office,2,19,#00539f
Blair,122 months in office,3,19,#ee3224
Macmillan,82 months in office,4,19,#00539f
Brown,35 months in office,5,19,#ee3224
Chamberlain,36 months in office,5,19,#00539f
Lloyd George,71 months in office,5,19,#ffb703
Balfour,41 months in office,6,19,#00539f
May,34 months in office,6,19,#00539f
Asquith,105 months in office,0,20,#ffb703
Macdonald,82 months in office,0,20,#ee3224
Thatcher,139 months in office,0,20,#00539f
Attlee,76 months in office,1,20,#ee3224
Baldwin,87 months in office,1,20,#00539f
Churchill,104 months in office,1,20,#00539f
Major,78 months in office,1,20,#00539f
Wilson,94 months in office,1,20,#ee3224
Callaghan,37 months in office,2,20,#ee3224
Cameron,75 months in office,2,20,#00539f
Eden,22 months in office,2,20,#00539f
Heath,45 months in office,2,20,#00539f
Macmillan,82 months in office,4,20,#00539f
Blair,122 months in office,5,20,#ee3224
Brown,35 months in office,5,20,#ee3224
Chamberlain,36 months in office,5,20,#00539f
Lloyd George,71 months in office,5,20,#ffb703
Balfour,41 months in office,6,20,#00539f
May,34 months in office,6,20,#00539f
Asquith,105 months in office,0,21,#ffb703
Thatcher,139 months in office,0,21,#00539f
Attlee,76 months in office,1,21,#ee3224
Baldwin,87 months in office,1,21,#00539f
Churchill,104 months in office,1,21,#00539f
Macdonald,82 months in office,1,21,#ee3224
Major,78 months in office,1,21,#00539f
Callaghan,37 months in office,2,21,#ee3224
Eden,22 months in office,2,21,#00539f
Heath,45 months in office,2,21,#00539f
Wilson,94 months in office,2,21,#ee3224
Cameron,75 months in office,3,21,#00539f
Macmillan,82 months in office,4,21,#00539f
Blair,122 months in office,5,21,#ee3224
Brown,35 months in office,5,21,#ee3224
Chamberlain,36 months in office,5,21,#00539f
Lloyd George,71 months in office,5,21,#ffb703
Balfour,41 months in office,6,21,#00539f
May,34 months in office,6,21,#00539f
Asquith,105 months in office,0,22,#ffb703
Thatcher,139 months in office,0,22,#00539f
Attlee,76 months in office,1,22,#ee3224
Baldwin,87 months in office,1,22,#00539f
Churchill,104 months in office,1,22,#00539f
Macdonald,82 months in office,1,22,#ee3224
Callaghan,37 months in office,2,22,#ee3224
Eden,22 months in office,2,22,#00539f
Heath,45 months in office,2,22,#00539f
Major,78 months in office,2,22,#00539f
Wilson,94 months in office,2,22,#ee3224
Cameron,75 months in office,3,22,#00539f
Macmillan,82 months in office,4,22,#00539f
Blair,122 months in office,5,22,#ee3224
Brown,35 months in office,5,22,#ee3224
Chamberlain,36 months in office,5,22,#00539f
Lloyd George,71 months in office,5,22,#ffb703
Balfour,41 months in office,6,22,#00539f
May,34 months in office,7,22,#00539f
Asquith,105 months in office,0,23,#ffb703
Thatcher,139 months in office,0,23,#00539f
Attlee,76 months in office,1,23,#ee3224
Baldwin,87 months in office,1,23,#00539f
Churchill,104 months in office,1,23,#00539f
Macdonald,82 months in office,1,23,#ee3224
Callaghan,37 months in office,2,23,#ee3224
Eden,22 months in office,2,23,#00539f
Heath,45 months in office,2,23,#00539f
Major,78 months in office,2,23,#00539f
Wilson,94 months in office,2,23,#ee3224
Cameron,75 months in office,3,23,#00539f
Blair,122 months in office,5,23,#ee3224
Brown,35 months in office,5,23,#ee3224
Chamberlain,36 months in office,5,23,#00539f
Lloyd George,71 months in office,5,23,#ffb703
Macmillan,82 months in office,5,23,#00539f
Balfour,41 months in office,6,23,#00539f
May,34 months in office,8,23,#00539f
Asquith,105 months in office,0,24,#ffb703
Thatcher,139 months in office,0,24,#00539f
Attlee,76 months in office,1,24,#ee3224
Baldwin,87 months in office,1,24,#00539f
Churchill,104 months in office,1,24,#00539f
Macdonald,82 months in office,1,24,#ee3224
Callaghan,37 months in office,2,24,#ee3224
Eden,22 months in office,2,24,#00539f
Heath,45 months in office,2,24,#00539f
Major,78 months in office,2,24,#00539f
Wilson,94 months in office,2,24,#ee3224
Cameron,75 months in office,3,24,#00539f
Chamberlain,36 months in office,5,24,#00539f
Macmillan,82 months in office,5,24,#00539f
Balfour,41 months in office,6,24,#00539f
Blair,122 months in office,6,24,#ee3224
Lloyd George,71 months in office,6,24,#ffb703
Brown,35 months in office,9,24,#ee3224
May,34 months in office,13,24,#00539f
Asquith,105 months in office,0,25,#ffb703
Thatcher,139 months in office,0,25,#00539f
Attlee,76 months in office,1,25,#ee3224
Baldwin,87 months in office,1,25,#00539f
Churchill,104 months in office,1,25,#00539f
Macdonald,82 months in office,1,25,#ee3224
Callaghan,37 months in office,2,25,#ee3224
Eden,22 months in office,2,25,#00539f
Wilson,94 months in office,2,25,#ee3224
Cameron,75 months in office,3,25,#00539f
Heath,45 months in office,3,25,#00539f
Major,78 months in office,3,25,#00539f
Chamberlain,36 months in office,5,25,#00539f
Macmillan,82 months in office,5,25,#00539f
Balfour,41 months in office,6,25,#00539f
Lloyd George,71 months in office,6,25,#ffb703
Blair,122 months in office,7,25,#ee3224
Brown,35 months in office,12,25,#ee3224
May,34 months in office,14,25,#00539f
Asquith,105 months in office,0,26,#ffb703
Thatcher,139 months in office,0,26,#00539f
Attlee,76 months in office,1,26,#ee3224
Baldwin,87 months in office,1,26,#00539f
Churchill,104 months in office,1,26,#00539f
Macdonald,82 months in office,1,26,#ee3224
Callaghan,37 months in office,2,26,#ee3224
Eden,22 months in office,2,26,#00539f
Wilson,94 months in office,2,26,#ee3224
Cameron,75 months in office,3,26,#00539f
Heath,45 months in office,3,26,#00539f
Major,78 months in office,3,26,#00539f
Chamberlain,36 months in office,5,26,#00539f
Macmillan,82 months in office,5,26,#00539f
Balfour,41 months in office,6,26,#00539f
Lloyd George,71 months in office,6,26,#ffb703
Blair,122 months in office,7,26,#ee3224
Brown,35 months in office,12,26,#ee3224
May,34 months in office,14,26,#00539f
Asquith,105 months in office,0,27,#ffb703
Thatcher,139 months in office,0,27,#00539f
Attlee,76 months in office,1,27,#ee3224
Baldwin,87 months in office,1,27,#00539f
Churchill,104 months in office,1,27,#00539f
Macdonald,82 months in office,1,27,#ee3224
Callaghan,37 months in office,2,27,#ee3224
Eden,22 months in office,2,27,#00539f
Wilson,94 months in office,2,27,#ee3224
Cameron,75 months in office,3,27,#00539f
Heath,45 months in office,3,27,#00539f
Major,78 months in office,3,27,#00539f
Chamberlain,36 months in office,5,27,#00539f
Macmillan,82 months in office,5,27,#00539f
Balfour,41 months in office,6,27,#00539f
Lloyd George,71 months in office,6,27,#ffb703
Blair,122 months in office,8,27,#ee3224
Brown,35 months in office,12,27,#ee3224
May,34 months in office,14,27,#00539f
Asquith,105 months in office,0,28,#ffb703
Thatcher,139 months in office,0,28,#00539f
Baldwin,87 months in office,1,28,#00539f
Churchill,104 months in office,1,28,#00539f
Macdonald,82 months in office,1,28,#ee3224
Attlee,76 months in office,2,28,#ee3224
Callaghan,37 months in office,2,28,#ee3224
Eden,22 months in office,2,28,#00539f
Wilson,94 months in office,2,28,#ee3224
Cameron,75 months in office,3,28,#00539f
Heath,45 months in office,3,28,#00539f
Major,78 months in office,3,28,#00539f
Chamberlain,36 months in office,5,28,#00539f
Macmillan,82 months in office,5,28,#00539f
Balfour,41 months in office,6,28,#00539f
Lloyd George,71 months in office,6,28,#ffb703
Blair,122 months in office,8,28,#ee3224
Brown,35 months in office,13,28,#ee3224
May,34 months in office,16,28,#00539f
Asquith,105 months in office,0,29,#ffb703
Thatcher,139 months in office,0,29,#00539f
Baldwin,87 months in office,1,29,#00539f
Churchill,104 months in office,1,29,#00539f
Macdonald,82 months in office,1,29,#ee3224
Attlee,76 months in office,2,29,#ee3224
Callaghan,37 months in office,2,29,#ee3224
Eden,22 months in office,2,29,#00539f
Wilson,94 months in office,2,29,#ee3224
Cameron,75 months in office,3,29,#00539f
Heath,45 months in office,3,29,#00539f
Major,78 months in office,3,29,#00539f
Chamberlain,36 months in office,5,29,#00539f
Macmillan,82 months in office,5,29,#00539f
Balfour,41 months in office,6,29,#00539f
Lloyd George,71 months in office,6,29,#ffb703
Blair,122 months in office,8,29,#ee3224
Brown,35 months in office,13,29,#ee3224
May,34 months in office,21,29,#00539f
Asquith,105 months in office,0,30,#ffb703
Thatcher,139 months in office,0,30,#00539f
Baldwin,87 months in office,1,30,#00539f
Churchill,104 months in office,1,30,#00539f
Macdonald,82 months in office,1,30,#ee3224
Attlee,76 months in office,2,30,#ee3224
Callaghan,37 months in office,2,30,#ee3224
Eden,22 months in office,2,30,#00539f
Wilson,94 months in office,2,30,#ee3224
Heath,45 months in office,3,30,#00539f
Major,78 months in office,3,30,#00539f
Cameron,75 months in office,4,30,#00539f
Chamberlain,36 months in office,5,30,#00539f
Macmillan,82 months in office,5,30,#00539f
Balfour,41 months in office,6,30,#00539f
Lloyd George,71 months in office,6,30,#ffb703
Blair,122 months in office,8,30,#ee3224
Brown,35 months in office,13,30,#ee3224
May,34 months in office,22,30,#00539f
Asquith,105 months in office,0,31,#ffb703
Thatcher,139 months in office,0,31,#00539f
Baldwin,87 months in office,1,31,#00539f
Churchill,104 months in office,1,31,#00539f
Attlee,76 months in office,2,31,#ee3224
Callaghan,37 months in office,2,31,#ee3224
Eden,22 months in office,2,31,#00539f
